--------- beginning of system
01-30 17:14:36.418  1562  1620 E ActivityThread: Failed to find provider info for com.qti.smq.Feedback.provider
01-30 18:11:23.523  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 1 line
01-30 18:11:24.382  1089  2179 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 18:11:24.548  1089  4020 I chatty  : uid=1000(system) Binder:1089_11 expire 3 lines
01-30 18:11:24.557  2126  2126 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@f310aef
01-30 18:11:24.637  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 3 lines
01-30 18:11:24.638  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 25 lines
01-30 18:11:25.723  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 18:11:25.979  1089  1310 I chatty  : uid=1000(system) Binder:1089_4 expire 2 lines
01-30 18:11:25.985  2126  2126 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@cbc69e8
01-30 18:11:26.316  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 3 lines
01-30 18:11:26.917  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 2 lines
01-30 18:13:03.310  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 18:14:24.446  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 2 lines
01-30 18:15:16.179  1089  1188 I chatty  : uid=1000(system) android.bg expire 1 line
01-30 18:25:44.976  1089  1360 I chatty  : uid=1000(system) InputReader expire 1 line
01-30 18:25:44.994  1089  1215 I chatty  : uid=1000(system) PowerManagerSer expire 10 lines
01-30 18:25:45.172  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 4 lines
01-30 18:25:45.172  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 18:25:45.180  1089  1180 I chatty  : uid=1000(system) android.display expire 2 lines
01-30 18:25:45.900  1089  1177 I chatty  : uid=1000(system) android.fg expire 5 lines
01-30 18:25:45.928  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 1 line
01-30 18:25:47.808  1089  1360 I chatty  : uid=1000(system) InputReader expire 2 lines
01-30 18:25:47.913  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-30 18:25:48.473  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 2 lines
01-30 18:25:48.473  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 9 lines
01-30 18:25:51.595  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 1 line
01-30 18:25:54.945  1089  3318 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 18:25:55.205  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 18:26:09.304  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 2 lines
01-30 18:29:47.035  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 18:29:47.037  1089  1215 I chatty  : uid=1000(system) PowerManagerSer expire 13 lines
01-30 18:29:47.203  1089  1180 I chatty  : uid=1000(system) android.display expire 3 lines
01-30 18:29:47.421  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 8 lines
01-30 18:29:47.632  1089  1177 I chatty  : uid=1000(system) android.fg expire 6 lines
01-30 18:29:47.689  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 5 lines
01-30 18:29:50.042  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 7 lines
01-30 18:29:50.887  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 1 line
01-30 18:29:51.988  1089  1360 I chatty  : uid=1000(system) InputReader expire 3 lines
01-30 18:29:52.330  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 1 line
01-30 18:30:07.361  1089  1178 I chatty  : uid=1000(system) android.ui expire 2 lines
01-30 18:30:07.556  1089  1215 I chatty  : uid=1000(system) PowerManagerSer expire 20 lines
01-30 18:30:07.584  1089  1177 I chatty  : uid=1000(system) android.fg expire 9 lines
01-30 18:30:07.709  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 2 lines
01-30 18:30:07.902  1089  1360 I chatty  : uid=1000(system) InputReader expire 3 lines
01-30 18:30:08.240  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 5 lines
01-30 18:30:08.240  1089  1180 I chatty  : uid=1000(system) android.display expire 3 lines
01-30 18:30:08.464  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 18:33:05.378  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-30 19:13:09.739  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 2 lines
01-30 19:30:23.565  1089  1347 I chatty  : uid=1000(system) AlarmManager expire 2 lines
01-30 19:30:23.649  1089  1379 I chatty  : uid=1000(system) NetworkStats expire 1 line
01-30 19:30:23.650  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 29 lines
01-30 19:30:23.660  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 2 lines
01-30 19:30:25.932  1089  1859 I chatty  : uid=1000(system) Binder:1089_8 expire 2 lines
01-30 19:30:26.012  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 2 lines
01-30 19:30:27.671  1089  2719 I chatty  : uid=1000(system) Binder:1089_1E expire 1 line
01-30 19:30:28.423  3667  3714 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@8915bce
01-30 19:30:28.437  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 3 lines
01-30 19:33:10.905  1089  1994 I chatty  : uid=1000(system) Binder:1089_1A expire 2 lines
01-30 19:33:10.913  3667  3667 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@f6b66da
01-30 19:33:11.020  1089  1178 I chatty  : uid=1000(system) android.ui expire 3 lines
01-30 19:33:11.076  1089  4086 I chatty  : uid=1000(system) Binder:1089_14 expire 9 lines
01-30 19:33:11.629  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 2 lines
01-30 19:33:11.630  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 9 lines
01-30 19:33:11.995  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 1 line
01-30 19:33:12.223  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-30 19:33:14.321  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 8 lines
01-30 19:35:02.693  1089  1677 I chatty  : uid=1000(system) Binder:1089_6 expire 3 lines
01-30 19:47:11.936  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 2 lines
01-30 21:17:26.695  1089  1379 I chatty  : uid=1000(system) NetworkStats expire 1 line
01-30 21:49:46.645  1089  3977 I chatty  : uid=1000(system) Binder:1089_3 expire 6 lines
01-30 21:49:46.870  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 5 lines
01-30 22:00:01.728  1089  1089 I chatty  : uid=1000(system) Binder:1089_3 expire 8 lines
01-30 22:00:01.740  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 22:05:41.713  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 2 lines
01-30 22:35:12.647  1089  1347 I chatty  : uid=1000(system) AlarmManager expire 1 line
01-30 22:35:12.778  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 39 lines
01-30 22:35:13.223  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 3 lines
01-30 22:35:17.673  1089  2339 I chatty  : uid=1000(system) Binder:1089_1C expire 2 lines
01-30 22:35:19.063  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 22:35:19.342  1089  1148 I chatty  : uid=1000(system) Binder:1089_1 expire 1 line
01-30 22:35:20.558  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 2 lines
01-30 22:35:20.944  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 1 line
01-30 22:35:20.948  1089   382 I chatty  : uid=1000(system) Binder:1089_15 expire 5 lines
01-30 22:35:22.877   595   595 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@8f4f8c9
01-30 22:35:22.937  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 22:35:23.441  1089  2130 I chatty  : uid=1000(system) Binder:1089_A expire 8 lines
01-30 22:35:23.600  1089  1190 I chatty  : uid=1000(system) ActivityManager expire 25 lines
01-30 22:35:24.056  1089  1311 I chatty  : uid=1000(system) Binder:1089_5 expire 4 lines
01-30 22:35:24.057  1089  1404 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-30 22:35:24.408  1089  1189 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-30 22:35:24.671  1089  1205 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-30 22:35:24.906  1089  1178 I chatty  : uid=1000(system) android.ui expire 1 line
01-30 22:35:25.027   595   595 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@f6b66da
01-30 22:35:25.048  1089  1241 I chatty  : uid=1000(system) Binder:1089_17 expire 1 line
01-30 22:35:26.353  1089  1641 I chatty  : uid=1000(system) Binder:1089_19 expire 1 line
01-30 22:35:26.377  1089  4042 I chatty  : uid=1000(system) Binder:1089_12 expire 1 line
01-30 22:35:26.390  1089  3501 I chatty  : uid=1000(system) Binder:1089_20 expire 1 line
01-30 22:35:26.461  1089  2461 I chatty  : uid=1000(system) Binder:1089_C expire 1 line
01-30 22:35:26.472  1089  1190 D CompatibilityChangeReporter: Compat change id reported: 143937733; UID 10125; state: ENABLED
01-30 22:35:26.476  1089  1189 I DropBoxManagerService: add tag=system_server_wtf isTagEnabled=true flags=0x2
01-30 22:35:26.535  1089  1190 W ActivityManager: Slow operation: 85ms so far, now at startProcess: returned from zygote!
01-30 22:35:26.536  1089  2461 I ActivityManager: Process com.android.chrome (pid 1108) has died: cch+5 CEM 
01-30 22:35:26.544  1089  1190 W ActivityManager: Slow operation: 93ms so far, now at startProcess: done updating battery stats
01-30 22:35:26.544  1089  1190 W ActivityManager: Slow operation: 94ms so far, now at startProcess: building log message
01-30 22:35:26.544  1089  1190 I ActivityManager: Start proc 1394:com.android.vending/u0a125 for broadcast {com.android.vending/com.google.android.finsky.verifier.impl.settings.SingleUserSettingsReceiver}
01-30 22:35:26.544  1089  1190 W ActivityManager: Slow operation: 94ms so far, now at startProcess: starting to update pids map
01-30 22:35:26.545  1089  1190 W ActivityManager: Slow operation: 94ms so far, now at startProcess: done updating pids map
01-30 22:35:26.681  1089  2461 I ActivityManager: Process com.google.process.gapps (pid 1333) has died: cch+5 CEM 
