--------- beginning of system
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@54095b6
01-25 18:09:37.533  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@ae162b7
01-25 23:55:14.236  1080  3787 I chatty  : uid=1000(system) Binder:1080_3 expire 6 lines
01-25 23:55:14.497  1080  1174 I chatty  : uid=1000(system) android.fg expire 1 line
01-25 23:55:14.986  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 5 lines
01-25 23:55:14.987  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 11 lines
01-25 23:55:15.783  1080  2262 I chatty  : uid=1000(system) backup-0 expire 4 lines
01-25 23:55:15.829  1080  3952 I chatty  : uid=1000(system) Binder:1080_3 expire 10 lines
01-25 23:55:15.926  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 3 lines
01-25 23:55:16.475  1080  3952 I chatty  : uid=1000(system) Binder:1080_3 expire 3 lines
01-25 23:55:16.736  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 2 lines
01-25 23:55:16.737  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 29 lines
01-25 23:55:16.918  1080  1677 I chatty  : uid=1000(system) Binder:1080_6 expire 1 line
01-25 23:55:17.098  1080  3816 I chatty  : uid=1000(system) Binder:1080_13 expire 3 lines
01-25 23:55:17.248  1080   385 I chatty  : uid=1000(system) Binder:1080_17 expire 2 lines
01-25 23:55:17.258  2396  2396 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@de3b6a6
01-25 23:55:17.385  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-25 23:55:18.285  1080  2360 I chatty  : uid=1000(system) Binder:1080_C expire 2 lines
01-25 23:55:19.319  3862  4002 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@161b8ca
01-25 23:55:19.329  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 26 lines
01-25 23:55:19.951  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 5 lines
01-25 23:55:21.100  1080  1561 I chatty  : uid=1000(system) Binder:1080_18 expire 2 lines
01-25 23:55:21.868  1080  2554 I chatty  : uid=1000(system) Binder:1080_E expire 2 lines
01-25 23:55:21.869  1080  3669 I chatty  : uid=1000(system) Binder:1080_12 expire 1 line
01-25 23:55:21.869  1080  2628 I chatty  : uid=1000(system) Binder:1080_1D expire 1 line
01-25 23:55:21.869  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 1 line
01-25 23:55:22.329  1080  2741 I chatty  : uid=1000(system) Binder:1080_1E expire 1 line
01-25 23:55:22.648  1080  2207 I chatty  : uid=1000(system) Binder:1080_1C expire 2 lines
01-25 23:55:22.844  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 1 line
01-25 23:55:23.244  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 24 lines
01-25 23:55:23.423  1080  2336 I chatty  : uid=1000(system) Binder:1080_A expire 1 line
01-25 23:55:23.424  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 3 lines
01-25 23:55:23.640  1080  3574 I chatty  : uid=1000(system) Binder:1080_10 expire 5 lines
01-25 23:55:23.927  1080  1677 I chatty  : uid=1000(system) Binder:1080_6 expire 2 lines
01-25 23:55:24.225  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 3 lines
01-25 23:55:24.508  1080  2554 I chatty  : uid=1000(system) Binder:1080_E expire 2 lines
01-25 23:55:24.685  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-25 23:55:24.907  1080  3580 I chatty  : uid=1000(system) Binder:1080_11 expire 2 lines
01-25 23:55:26.718  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 23 lines
01-25 23:55:27.088  1080  2554 I chatty  : uid=1000(system) Binder:1080_E expire 2 lines
01-25 23:55:28.418  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 4 lines
01-25 23:55:31.735  1080   383 I chatty  : uid=1000(system) Binder:1080_16 expire 3 lines
01-25 23:55:34.389  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 2 lines
01-26 00:13:28.647  1080  1377 I chatty  : uid=1000(system) NetworkStats expire 2 lines
01-26 05:52:02.670  1080  1175 I chatty  : uid=1000(system) android.ui expire 1 line
01-26 05:52:02.753  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 4 lines
01-26 05:52:06.082  1080  1361 I chatty  : uid=1000(system) NetworkWatchlis expire 2 lines
01-26 05:52:06.126  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 20 lines
01-26 05:52:07.705  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 4 lines
01-26 05:52:07.795  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 1 line
01-26 05:52:08.384  1080  1677 I chatty  : uid=1000(system) Binder:1080_6 expire 3 lines
01-26 05:52:08.413  1080  1106 I chatty  : uid=1000(system) Binder:1080_1 expire 2 lines
01-26 05:52:08.998  1080   385 I chatty  : uid=1000(system) Binder:1080_17 expire 2 lines
01-26 05:52:09.139  1080  1307 I chatty  : uid=1000(system) Binder:1080_4 expire 1 line
01-26 06:28:49.682  1080  1377 I chatty  : uid=1000(system) NetworkStats expire 1 line
01-26 07:00:01.623  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 5 lines
01-26 08:14:05.704  1080  1175 I chatty  : uid=1000(system) android.ui expire 1 line
01-26 10:13:28.856  1080  1930 I chatty  : uid=1000(system) Binder:1080_1A expire 1 line
01-26 11:40:25.193  1080  1185 I chatty  : uid=1000(system) android.bg expire 2 lines
01-26 11:40:25.298  1080  2742 I chatty  : uid=1000(system) Binder:1080_1F expire 1 line
01-26 11:40:25.299  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 31 lines
01-26 11:40:25.755  1080   385 I chatty  : uid=1000(system) Binder:1080_17 expire 2 lines
01-26 11:40:25.761  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 4 lines
01-26 11:40:28.060  1080  1080 I chatty  : uid=1000(system) Binder:1080_3 expire 4 lines
01-26 11:40:28.261  1080  1187 I chatty  : uid=1000(system) ActivityManager expire 10 lines
01-26 11:40:29.758  1080  3122 I chatty  : uid=1000(system) Binder:1080_21 expire 2 lines
01-26 11:40:30.250  1080  1194 I chatty  : uid=1000(system) batterystats-wo expire 2 lines
01-26 11:40:31.052  1080  1677 I chatty  : uid=1000(system) Binder:1080_6 expire 2 lines
01-26 11:40:31.054  1080  1405 I chatty  : uid=1000(system) ConnectivitySer expire 9 lines
01-26 11:40:31.379  1080  2338 I chatty  : uid=1000(system) Binder:1080_B expire 3 lines
01-26 11:40:32.109  1080  1932 I chatty  : uid=1000(system) Binder:1080_1B expire 3 lines
01-26 11:40:32.532  1080  2360 I chatty  : uid=1000(system) Binder:1080_C expire 2 lines
01-26 11:40:32.537  1080  1186 I chatty  : uid=1000(system) ActivityManager expire 3 lines
01-26 11:40:32.682  2317  2317 I ActivityThread: Removing dead content provider:android.content.ContentProviderProxy@81469fe
01-26 11:40:34.906  1080  4059 I chatty  : uid=1000(system) Binder:1080_15 expire 1 line
